id,state,bill_number,name,most_recent_action,action_date,current_legislative_status,categories,bill_track_link,legislative_sessions,summary,number_of_sponsors,trifecta_status,sponsors_partisan_affiliations
2663,AK,SB209,Elections; Fraud; Ballots,REFERRED TO STATE AFFAIRS,2022-02-22,Introduced,"Absentee/mail-in ballot return processes,Cure provisions,Chain of custody",https://www.billtrack50.com/billdetail/1460723/30830,2022,"This bill requires the district absentee ballot counting board to determine whether signatures are consistent across records and certificates. This bill criminalizes possessing a ballot intended for someone else, unless they are a family member, caregiver, or engaged in official duties.",1,Divided,Democratic
2660,AK,HB368,Election Transparency,REFERRED TO STATE AFFAIRS,2022-02-22,Introduced,"Counting and canvassing procedures,In-person voting and polling places,In-person voter assistance",https://www.billtrack50.com/billdetail/1460778/30830,2022,"<p>This bill allows watchers to request and watch a hand count after votes are counted. This bill calls for a watcher handbook to be made publicly available at least 180 days before the election. This bill prohibits election funding by outside groups. This bill requires ballots to be printed on security paper. This bill requires use of video recording while ballots are being cast and counted, as well as at early voting locations, and of ballots waiting to be counted. Names of voters receiving assistance will be noted. This bill requires preservation of spoiled ballots and counting of unused ballots. Ballots may not be destroyed at precincts. Recordings and images related to an election may be destroyed 22 months after certification of the election. This bill sets disallows duplication of ballots in most cases. It also lays out guidelines for a forensic audit after the election. This bill requires poll watchers be notified three days before an early voting drop box is removed for counting. This bill lays out guidelines for recount and hand recount requests. This bill also enumerates a required chain of custody for voting machines and precinct tabulators. &nbsp; &nbsp;</p>",1,Divided,Republican
2662,AK,HB390,"Voter Registration, Hand-count Districts",REFERRED TO STATE AFFAIRS,2022-02-22,Introduced,"Absentee/mail-in ballot administration,Counting and canvassing procedures",https://www.billtrack50.com/billdetail/1460750/30830,2022,"<p>This bill lays out provisions for a hand count of ballots. In hand count precincts, officials may begin counting 14 days before an election. In a hand count district, a recount will also be by hand count.</p>",1,Divided,Republican
32,AK,HB286,Elections; Fraud; Ballots,JUD REFERRAL ADDED AFTER STA,2022-01-21,Introduced,"Permanent lists,Cure provisions,Signature matching,Enforcement against officials,Enforcement against non-officials,Chain of custody,Physical security",https://www.billtrack50.com/billdetail/1427311,2022,"<p>This bill includes instructions to directors on voter registration requests by ""permanent fund dividend applicants."" This bill also requires regular review of voter lists and updating the master register. This bill prohibits private funding of election administration. The bill provides for the appointment of watchers and lays out guidelines for doing so, as well as guidelines for watcher access to the counting process. This bill establishes a voter fraud hotline. This bill prohibits those assisting voters from influencing their voting decisions. This bill allows directors to establish rules for a ballot count to ensure accuracy and expedite the process, as well as guidelines for reviewing the counting process. This bill provides guidelines for the storage and destruction of ballots. This bill establishes an online tracking system for absentee ballots and postage paid return envelopes. Absentee ballots may only be sent to those who request them. Voters can request to receive absentee ballots for four years. This bill allows certificates on absentee ballots to be reviewed at least ten days before the election and requires the counting board to verify signatures. If the signature is inconsistent with that on record, the district absentee counting board will not count the ballot. This bill also requires districts to examine precinct tabulators and follow other anti-fraud guidelines.&nbsp;</p><p>This bill also establishes criminal interference rules for anyone: knowingly possessing someone else's ballot, except in certain circumstances; &nbsp;anyone tampering with a ballot; anyone changing the outcome of an election; or disclosing confidential election data. The election fraud hotline phone number must be included in election pamphlets. This bill requires that police officers have four hours of training in detecting and investigating election offenses. &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;</p>",0,Divided,Other
36,AK,SB82,Elections; Election Investigations,REFERRED TO STATE AFFAIRS,2021-04-28,Introduced,"Oversight and accountability,Enforcement against officials,Enforcement against non-officials",https://www.billtrack50.com/billdetail/1315179,2022,"<p>This bill provides for a process of investigating allegations of election law violations. It provides a time limit of 60 days to file a complaint. Certain complaints go to Alaska Public Offices Commission, while the rest go to the attorney general. The office may dismiss the complaint. The bill states that in investigating the complaint, the attorney general's office may use subpoenas, and interrogatories, and obtain relevant records. The attorney general may seek an order in court requiring the subpoena recipient to provide an expedited response. The recipient of the subpoena has 10 days to file an action to quash the subpoena in court. The court may respond. This bill states that at the end of the investigation, the attorney general must inform the division of the result of the investigation.The division may make reasonable effort to work with the agency or employee to take corrective action. This bill states that the attorney general's findings are public record. This bill states that the attorney general may bring civil action for certain violations. A fine of up to $25,000, plus attorney costs may be levied. Action against a candidate or elected official must be brought within two years of the complaint. This bill states that a complainant may file an action in court. This bill defines relevant terms. &nbsp;&nbsp;</p>",0,Divided,Other
31,AK,HB23,Ballot Custody/tamper; Voting; Voter Reg,COSPONSOR(S): MCCARTY,2021-04-16,Introduced,"Cure provisions,Enforcement against non-officials,Chain of custody,Physical security",https://www.billtrack50.com/billdetail/1262677,2022,"<p>This bill establishes voter registration requirements and allows for voter registration resubmission. This bill additionally provides for unused ballot security, recount procedures for ensuring ballot security, including ballot tracking, designated return locations, tracking voting machine reports. This bill includes audit and certification procedures. Accepted recount requests must be reported to the attorney general, lieutenant governor, and other affected parties. Affected parties will have at least 24 hours to appoint a poll watcher. In this bill guidelines are included for elected officials and watchers to report misconduct or tampering. This bill establishes an election offense hotline. This bill includes procedures for notifying voters of disqualification of ballots. This bill requires certification only after each ballot is accounted for. This bill includes procedures for destruction of ballots after elections. This bill prohibits voting by fax machine in state elections. This bill requires absentee ballot signature matching. This bill enumerates reasons an absentee ballot shall not be counted. This bill makes it unlawful to possess another person's ballot or to tamper with a ballot(s). &nbsp;&nbsp;</p>",4,Divided,Republican
30,AK,HB138,Voting By Mail,REFERRED TO JUDICIARY,2021-04-09,Introduced,"Absentee/mail-in ballot administration,Drop-box availability,Audits,Language accommodations,Counting and canvassing procedures,In-person voting and polling places,Enforcement against officials,Enforcement against non-officials,Voter registration,Cybersecurity",https://www.billtrack50.com/billdetail/1348483,2022,"<p>This bill states that voters may request alternate languages for printed election materials. Those with language accommodation requests that cannot be met will be notified. When no request is made, materials will be sent in English. This bill states that the election director shall conduct an audit after the election but before certification of the results. This bill enumerates all elections that can be conducted by mail. This bill provides procedures for conducting elections by mail including envelope design, mailing, and security. Ballots should be sent at least 29 days before an election, or 45 days internationally. This bill provides voting and mailing instructions for absentee voters. This bill provides for an online tracking system for ballot return, counting, and replacement ballots. This bill directs voting officials to inform voters of the reason a ballot was not counted and provide opportunities to voters to fix errors. If the ballot is rejected, voting officials must inform the voter. The bill also directs election officials to review absentee certificates at least 10 days before the election. This bill directs election officials to certify election results by the 15th day after the election. This bill provides instructions to election officials for the process of counting and processing absentee ballots. This bill delineates identification requirements for absentee voting. This bill requires officials to create a process for challenged ballots and for ballots with other errors, such as signature.&nbsp;</p><p>This bill also provides for vote centers and drop boxes, and lays out requirements for both. Vote centers are to be open 7am-8pm on Election Day. The bill also creates hours of operation for vote centers and drop boxes before the election. Vote centers must provide language accommodations, having voting equipment inspected before opening, and must process and count ballots cast. This bill includes dropbox security requirements. This bill details voter registration requirements for overseas voters. This bill delineates the makeup and requirements of the vote-by-mail election board, as well as their compensation. This bill requires specific public notification of upcoming elections. This bill specifies the directors duties in reviewing the counting of ballots. This bill defines the appointment and roles of election watchers. The bill establishes procedures and policies for complaints, challenges, applications for review, and recount requests. Statements for the grounds of recall must be posted in a conspicuous place. This bill provides a list of actions considered unlawful interference with an election. &nbsp;</p>",1,Divided,Democratic
33,AK,HB95,Elections; Election Investigations,REFERRED TO STATE AFFAIRS,2021-02-18,Introduced,"Oversight and accountability,Enforcement against officials,Enforcement against non-officials",https://www.billtrack50.com/billdetail/1319709,2022,"<p>This bill provides for a method to file an election fraud complaint with appropriate authorities. This bill delineates proper adjudicating authorities depending on the type of complaint filed. This bill allows the attorney general to investigate complaints and the office is given authority to issue subpoenas, administer oaths, require witness response, review documents. This bill states that the attorney general will inform the division about the results of the investigation and work with the agency or employees to take corrective action. The attorney general may levy a penalty of up to $25,000 for each violation. The state may recover attorney costs. This bill clarifies terminology used in the bill.&nbsp;</p>",0,Divided,Other
34,AK,HB96,Elections; Voting; Ballot Reqs,REFERRED TO STATE AFFAIRS,2021-02-18,Introduced,"Voter ID for absentee/mail-in ballots,Voting materials,Counting and canvassing procedures,Recounts,Chain of custody",https://www.billtrack50.com/billdetail/1319729,2022,"<p>This bill includes instructions for what directors should include in a counting review. At least 5% of ballots cast from at least one precinct should be counted by hand. This bill includes the requirements for what should be included on an absentee ballot and envelope, including a voter identifier line. Absentee ballots must include two voter identifiers, one of which is the voter's date of birth. This bill gives instructions to voters on what to do with an absentee ballot when they receive it. This bill instructs the absentee ballot counting board to verify voters signatures and identifiers upon receipt of the absentee ballot. This bill enumerates reasons an absentee ballot may not be counted, including failing to provide signature or identifiers. This bill also states that in a recount the director will determine the amount and manner of payment of a deposit. A director may conduct an election by mail in communities of 750 or less. &nbsp; &nbsp;</p>",0,Divided,Other
37,AK,SB83,Elections; Voting; Ballot Reqs,REFERRED TO STATE AFFAIRS,2021-02-12,Introduced,Voter ID for absentee/mail-in ballots,https://www.billtrack50.com/billdetail/1315300,2022,"<p>This bill includes requirements for the director to review a ballot count. This bill requires directors to provide absentee ballot materials, which includes a spot for voter identifiers. Absentee ballot requestors are required to include two voter identifiers of which one should be the applicants birth date. This bill requires voters to complete the voter identifiers for absentee ballots. This bill requires the absentee ballot counting board to review the voter identifiers and signature before counting the ballot. This bill specifies the cost of a recount and amount required for deposit. This bill allows for an election by mail in specific circumstances. This bill defines relevant terms.</p>",0,Divided,Other
4845,AL,SB10,"Electronic vote counting systems, prohibits modem technology, prohibits capability of connecting to internet, cell phone networks,",Prefiled,2023-02-10,Introduced,Voting equipment,https://www.billtrack50.com/billdetail/1568565,2023,"<p>As introduced, this bill prohibits the use of vote counting systems with modem technology, or that are otherwise able to connect to the internet or cell phone networks. <br></p>",1,Republican,Republican
9,AL,HB144,"Elections, eliminating requirement for runoff election where only two candidates run in municipal election and there is a tie, providing that judge of probate, rather than sheriff, to decide where there is tie vote in election for county or precinct office","Delivered to Governor at 9:46 a.m. on April7, 2022.",2022-04-07,Passed both chambers,"Municipal election procedures,Counting and canvassing procedures,Certification",https://www.billtrack50.com/billdetail/1423846,2022,"<p>If there is a tie between two candidates in a runoff municipal election or other election, a judge of probate will determine the outcome of the race. If the judge of probate promoted a candidate, the circuit court judge in the county will break the tie by lot.&nbsp;</p>",1,Republican,Democratic
12,AL,HB194,"Elections, prohibits state and local election officials and their employees from soliciting, accepting, using, or disposing of certain donations from individuals or nongovernmental entities for funding certain election-related expenses","Delivered to Governor at 3:24 p.m. on April 7, 2022.",2022-04-07,Passed both chambers,"Private funding,Enforcement against non-officials",https://www.billtrack50.com/billdetail/1443722,2022,"<p>This bill states that if there is a public health emergency, donation of items to preserve public health in voting may be accepted by the Office of the Governor for distribution. Notification of the donation must be given by the Office of the Governor 10-21 days prior to distribution of donated items. This bill requires that donated items be distributed equally among all counties. Violation is a misdemeanor. &nbsp;</p>",1,Republican,Republican
17,AL,HB239,"Elections, prohibiting poll watchers from assisting an individual with voting, Secs. 11-46-51, 17-9-13 am'd.",Pending third reading on day 29 Favorable from Fiscal Responsibility and Economic Development,2022-04-06,Passed one chamber,"Poll observers,In-person voting and polling places,In-person voter assistance",https://www.billtrack50.com/billdetail/1445720,2022,"<p>This bill prohibits poll watchers, employers, candidates, or union officers from assisting a voter desiring voting assistance. The voter must ask for assistance and sign the poll list in the appropriate column asking for assistance. The assistant must also sign the poll list.</p>",1,Republican,Republican
22,AL,HB63,"Elections, prefilling of any field on voter registration application or absentee ballot application, prohibited, criminal penalties for violations imposed, Secs. 17-3-54, 17-11-4 am'd.",Fiscal Responsibility and Economic Development first Amendment Offered,2022-04-06,Passed one chamber,"Absentee/mail-in ballot request processes,Enforcement against non-officials,Voter registration,Absentee/mail-in voter assistance",https://www.billtrack50.com/billdetail/1412252,2022,"<p>This bill states that pre-filling voter registration applications or absentee ballot applications is prohibited, except by election officials. Pre-filled applications will be rejected by election authorities. The bill states that election authorities must notify and explain reasons for a rejected voter registration or absentee ballot applications within 10 days of the refusal. &nbsp;</p>",1,Republican,Republican
2710,AL,SB279,"Courts, the further provide for the election of justices of the Supreme Court and judges of the appellate courts, Sec. 12-3-4 repealed; Secs. 12-2-1, 12-3-2, 12-3-3, 12-3-4, 17-6-48, 17-6-48.1 am'd.",Senate JUDY Hearing (08:30 3/30/2022 Room 325),2022-03-30,Introduced,"Ballot access for candidates,Vacancy procedures,Ballot access deadlines",https://www.billtrack50.com/billdetail/1464805/30830,2022,"<p>This bill lays out the election process for justices of the Supreme Court, the Court of Civil Appeals, and the Court of Criminal Appeals, including starting dates for the elections. &nbsp;&nbsp;</p>",4,Republican,Democratic
2711,AL,SB287,"Elections, provide for election of associate justices of the Supreme Court and judges of the appellate courts, const. amend.",Senate JUDY Hearing (08:30 3/30/2022 Room 325),2022-03-30,Introduced,Ballot measures (initiative and referendum),https://www.billtrack50.com/billdetail/1464962/30830,2022,"<p>This constitutional amendment requires that associate justices of the Supreme Court and judges of the Court of Appeals be elected by districts, as determined by the &nbsp;State Legislature, starting in 2024.</p>",1,Republican,Democratic
