"UUID","YEAR","STATE","BILLNUM","BILLSTATUS","AUTHORNAME","AUTHORPARTY","PREFILEDATE","INTRODUCEDDATE","LASTACTIONDATE","NCOAUTHORS","NDEMCOAUTHORS","NREPCOAUTHORS","AUDITS","AVAPPL","AVBDIS","AVBRET","AVELIG","AVEVIP","AVMIOV","AVMISC","AVMOVE","AVNOEX","AVPERM","BACAND","BALDES","BAPART","CANQUL","CANRTR","CANWDW","CANWRI","CNTEST","CRIMES","CYBSEC","DATART","DUALFU","ECONPV","EDHOLI","ELCOST","ELDATE","ELECOL","ELEING","EMEDIS","EOCAMP","EOGENR","EOLOCA","EOSTWD","EXPOLL","FILING","INVOTE","MAILVO","MISCEL","POLPAR","POLWAT","PPACES","PPGENR","PPLOCA","PPPROC","PPVCEN","PPVHRS","PREDEF","PRIDAT","PRIMIS","PRIPUS","PRIRNF","PRITYP","PROVOT","PTDRES","PWCOMP","PWMISC","PWQUAL","PWTRAI","PWYOTH","RECOUN","REGAPP","REGATO","REGCVL","REGDRI","REGDTE","REGEDY","REGELE","REGGEN","REGIDR","REGLST","REGMSC","REGONL","REGPRE","REGSDL","REPRES","RUNOFF","SPELEC","STVOTE","TECHSS","TFSCIC","VACNCY","VCOUNT","VEDINF","VOTAFW","VOTAGE","VOTAST","VOTEME","VOTFVR","VOTMQU","VOTRID","VSSCST","VTRCHA","COAUTHORS","HISTORY","BILLTEXTURL"
"AL2025H82",2025,"AL","H82","Failed","Wood","R",2025-01-06,2025-02-03,2025-05-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"[""01/06/2025 - PREFILED."",""02/03/2025 - INTRODUCED."",""02/04/2025 - To HOUSE Committee on WAYS AND MEANS GENERAL FUND."",""02/20/2025 - From HOUSE Committee on WAYS AND MEANS GENERAL FUND: Reported Favorably."",""05/06/2025 - Indefinitely postponed.""]","http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000H82&ciq=urn:user:PA195824351&client_md=6ef37421a4d19b8347d72aa55805a439&mode=current_text"
"AL2025H97",2025,"AL","H97","Failed","Hassell","D",2025-01-29,2025-02-03,2025-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"[""01/29/2025 - PREFILED."",""01/29/2025 - To HOUSE Committee on CONSTITUTION, CAMPAIGNS AND ELECTIONS."",""02/03/2025 - INTRODUCED."",""02/03/2025 - To HOUSE Committee on CONSTITUTION, CAMPAIGNS AND ELECTIONS.""]","http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000H97&ciq=urn:user:PA195824351&client_md=4816aec8d63a6ea8527bc867675cf412&mode=current_text"
"AL2025S142",2025,"AL","S142","Enacted","Kitchens","R",NA,2025-02-11,2025-05-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"[""02/11/2025 - INTRODUCED."",""02/11/2025 - To SENATE Committee on COUNTY AND MUNICIPAL GOVERNMENT."",""02/18/2025 - From SENATE Committee on COUNTY AND MUNICIPAL GOVERNMENT: Reported favorably."",""04/17/2025 - Passed SENATE. *****To HOUSE."",""04/22/2025 - To HOUSE Committee on CONSTITUTION, CAMPAIGNS AND ELECTIONS."",""04/30/2025 - From HOUSE Committee on CONSTITUTION, CAMPAIGNS AND ELECTIONS: Reported Favorably."",""05/07/2025 - CONSTITUTION, CAMPAIGNS AND ELECTIONS Committee substitute offered on HOUSE floor."",""05/07/2025 - Committee Substitute adopted on HOUSE floor."",""05/07/2025 - Passed HOUSE. *****To SENATE for concurrence."",""05/14/2025 - SENATE concurred in HOUSE amendments."",""05/14/2025 - Eligible for GOVERNOR'S desk."",""05/14/2025 - *****To GOVERNOR."",""05/19/2025 - Signed by GOVERNOR."",""05/19/2025 - Act No. 2025-424""]","http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000S142&ciq=urn:user:PA195824351&client_md=e8f1d6a5da114d7bab7d40fd43b2f132&mode=current_text"
"AL2025S153",2025,"AL","S153","Failed","Coleman-Madison","D",NA,2025-02-11,2025-04-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,"[""02/11/2025 - INTRODUCED."",""02/11/2025 - To SENATE Committee on JUDICIARY."",""04/03/2025 - From SENATE Committee on JUDICIARY: Reported favorably."",""04/10/2025 - Passed SENATE. *****To HOUSE."",""04/10/2025 - To HOUSE Committee on JUDICIARY."",""04/30/2025 - From HOUSE Committee on JUDICIARY: Reported favorably.""]","http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000S153&ciq=urn:user:PA195824351&client_md=7c6ef28fb9b6dd7aa587386a72dc968d&mode=current_text"
"AL2025S158",2025,"AL","S158","Enacted","Barfoot","R",NA,2025-02-11,2025-05-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,NA,"[""02/11/2025 - INTRODUCED."",""02/11/2025 - To SENATE Committee on COUNTY AND MUNICIPAL GOVERNMENT."",""02/18/2025 - From SENATE Committee on COUNTY AND MUNICIPAL GOVERNMENT: Reported favorably."",""04/17/2025 - Passed SENATE. *****To HOUSE."",""04/22/2025 - To HOUSE Committee on CONSTITUTION, CAMPAIGNS AND ELECTIONS."",""04/30/2025 - From HOUSE Committee on CONSTITUTION, CAMPAIGNS AND ELECTIONS: Reported Favorably."",""05/07/2025 - Passed HOUSE."",""05/07/2025 - Eligible for GOVERNOR'S desk."",""05/07/2025 - *****To GOVERNOR."",""05/12/2025 - Signed by GOVERNOR."",""05/12/2025 - Act No. 2025-307""]","http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000S158&ciq=urn:user:PA195824351&client_md=80fa45a5a393ea03252b1b45b0e3906d&mode=current_text"
"AL2025S169",2025,"AL","S169","Failed","Orr","R",NA,2025-02-13,2025-05-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,"[""02/13/2025 - INTRODUCED."",""02/13/2025 - To SENATE Committee on FISCAL RESPONSIBILITY AND ECONOMIC DEVELOPMENT."",""02/19/2025 - From SENATE Committee on FISCAL RESPONSIBILITY AND ECONOMIC DEVELOPMENT: Reported favorably."",""05/06/2025 - Indefinitely postponed.""]","http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000S169&ciq=urn:user:PA195824351&client_md=f28e7aecc2c42ca0b2e875c3f9206897&mode=current_text"
"AL2025H250",2025,"AL","H250","Enacted","Underwood","R",NA,2025-02-11,2025-05-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"[""02/11/2025 - INTRODUCED."",""02/11/2025 - To HOUSE Committee on ETHICS AND CAMPAIGN FINANCE."",""02/20/2025 - From HOUSE Committee on ETHICS AND CAMPAIGN FINANCE: Reported Favorably."",""02/25/2025 - Passed HOUSE. *****To SENATE."",""02/25/2025 - To SENATE Committee on JUDICIARY."",""03/05/2025 - From SENATE Committee on JUDICIARY: Reported favorably."",""04/08/2025 - JUDICIARY Committee amendment offered on SENATE floor."",""04/08/2025 - Committee amendment adopted on SENATE floor."",""04/08/2025 - Passed SENATE. *****To HOUSE for concurrence."",""04/08/2025 - HOUSE concurred in SENATE amendments."",""04/24/2025 - Eligible for GOVERNOR'S desk."",""04/29/2025 - *****To GOVERNOR."",""05/06/2025 - Signed by GOVERNOR."",""05/06/2025 - Act No. 2025-282""]","http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000H250&ciq=urn:user:PA195824351&client_md=94c89d4c63f40c62cd6e42e13013e16e&mode=current_text"
"AL2025H258",2025,"AL","H258","Enacted","Carns","R",NA,2025-02-11,2025-05-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"[""02/11/2025 - INTRODUCED."",""02/11/2025 - To HOUSE Committee on CONSTITUTION, CAMPAIGNS AND ELECTIONS."",""03/05/2025 - From HOUSE Committee on CONSTITUTION, CAMPAIGNS AND ELECTIONS: Reported Favorably."",""03/20/2025 - Passed HOUSE. *****To SENATE."",""04/01/2025 - To SENATE Committee on COUNTY AND MUNICIPAL GOVERNMENT."",""04/08/2025 - From SENATE Committee on COUNTY AND MUNICIPAL GOVERNMENT: Reported favorably."",""04/15/2025 - COUNTY AND MUNICIPAL GOVERNMENT Committee amendment offered on SENATE floor."",""04/15/2025 - Committee amendment adopted on SENATE floor."",""04/24/2025 - Passed SENATE. *****To HOUSE for concurrence."",""04/24/2025 - HOUSE concurred in SENATE amendments."",""04/24/2025 - Eligible for GOVERNOR'S desk."",""04/29/2025 - *****To GOVERNOR."",""05/06/2025 - Signed by GOVERNOR."",""05/06/2025 - Act No. 2025-283""]","http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000H258&ciq=urn:user:PA195824351&client_md=88e1ae65317fe6d2e5453ed3c5e138d1&mode=current_text"
"AL2025H308",2025,"AL","H308","Failed","Carns","R",NA,2025-02-18,2025-02-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"[""02/18/2025 - INTRODUCED."",""02/18/2025 - To HOUSE Committee on CONSTITUTION, CAMPAIGNS AND ELECTIONS.""]","http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000H308&ciq=urn:user:PA195824351&client_md=dd8960ad363249627944bc15f36b0eab&mode=current_text"
"AL2025H479",2025,"AL","H479","Failed","Brinyark","R",NA,2025-04-01,2025-04-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"[""04/01/2025 - INTRODUCED."",""04/01/2025 - To HOUSE Committee on CONSTITUTION, CAMPAIGNS AND ELECTIONS."",""04/09/2025 - From HOUSE Committee on CONSTITUTION, CAMPAIGNS AND ELECTIONS: Reported Favorably."",""04/22/2025 - CONSTITUTION, CAMPAIGNS AND ELECTION Substitute offered on HOUSE floor."",""04/22/2025 - Representative amendment adopted on HOUSE floor."",""04/22/2025 - Passed HOUSE. *****To SENATE."",""04/24/2025 - To SENATE Committee on COUNTY AND MUNICIPAL GOVERNMENT."",""04/29/2025 - From SENATE Committee on COUNTY AND MUNICIPAL GOVERNMENT: Reported favorably.""]","http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000H479&ciq=urn:user:PA195824351&client_md=e526efba697f35b07196980c61a68e73&mode=current_text"
"AL2025H480",2025,"AL","H480","Failed","Treadaway","R",NA,2025-04-01,2025-04-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,NA,"[""04/01/2025 - INTRODUCED."",""04/01/2025 - To HOUSE Committee on CONSTITUTION, CAMPAIGNS AND ELECTIONS."",""04/09/2025 - From HOUSE Committee on CONSTITUTION, CAMPAIGNS AND ELECTIONS: Reported Favorably."",""04/15/2025 - Passed HOUSE. *****To SENATE."",""04/17/2025 - To SENATE Committee on EDUCATION POLICY."",""04/30/2025 - From SENATE Committee on EDUCATION POLICY: Reported favorably.""]","http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000H480&ciq=urn:user:PA195824351&client_md=992bb6f5358b22a481ee3dc3ee3c40a4&mode=current_text"
"AL2025H568",2025,"AL","H568","Failed","Hall L","D",NA,2025-04-15,2025-04-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,"[""04/15/2025 - INTRODUCED."",""04/15/2025 - To HOUSE Committee on STATE GOVERNMENT.""]","http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000H568&ciq=urn:user:PA195824351&client_md=4b3ef20fe87ab9e5f4cfbbd46d3e80cc&mode=current_text"
"AK2025S2",2025,"AK","S2","Pending","Hughes","R",2025-01-10,2025-01-21,2025-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"[""01/10/2025 - PREFILED."",""01/21/2025 - INTRODUCED."",""01/22/2025 - To SENATE Committee on STATE AFFAIRS."",""01/22/2025 - Additionally referred to SENATE Committee on JUDICIARY.""]","http://custom.statenet.com/public/resources.cgi?id=ID:bill:AK2025000S2&ciq=urn:user:PA195824351&client_md=163398ee732616adfee5381f0798590f&mode=current_text"
